position,orientation,success
"[0.007481510392803269, 0.035397824483663236, 0.192976612727675]","(0.9668493431434122, 0.25498961008143106, -0.007578415563781202, 0.011189907560602615)",True
"[0.019797767715376457, -0.006402555609563649, 0.2111239180542542]","(0.37711948859806865, 0.9256421832433741, 0.011820595206004345, -0.028770009540260585)",True
"[0.02361523406930439, 0.026313293748271006, 0.19835653231148287]","(-0.18088534621993038, 0.9806597508126653, -0.06514835803255195, 0.03664199918944928)",True
"[0.00603303363567108, -0.003479802078611337, 0.17420623731023133]","(-0.8796210924407044, -0.4749598829214387, -0.023785327742407873, -0.010681831905683864)",True
"[-0.008393496632212566, 0.030008974637148928, 0.18790629056008612]","(0.6861712361696238, -0.7234287152942768, 0.004411264583635042, 0.07616081200916851)",True
"[0.0012547310740011325, -0.002609455669230198, 0.2222816906059228]","(0.8270820888257145, 0.559049223916973, 0.00028043708146643226, -0.058301843337638)",True
"[-0.018000975545626283, 0.00553869957685295, 0.19754731875543563]","(-0.45307467852184097, 0.8858395248263002, -0.06750812352300284, -0.07385340341682407)",False
"[-0.033510074604168764, -0.015016682799203157, 0.21132843091409872]","(0.989269132052148, -0.1314603255051649, -0.04981965759391058, -0.03978402825370542)",True
"[-0.008082771711777082, -0.02649702794147552, 0.1918675396569689]","(0.14811176040891194, 0.9871496620498295, -0.011089057105567427, 0.05895323533098211)",True
"[0.006148045093702739, -0.015466661674632185, 0.19880148772473757]","(0.9765658553907851, 0.1970785703496396, -0.016635150877442544, -0.08486718417086397)",True
"[-0.011401256615020523, 0.011614883091543501, 0.23032841816829383]","(0.993696900385918, 0.009515386496335295, 0.0910537537565368, 0.06469266967816786)",True
"[-0.023039955511482153, 0.047391873066030724, 0.18353325195294884]","(0.1738156979016849, -0.9847635822512057, -0.002579646881013122, -0.004704854587784003)",False
"[-0.0009302132906144978, 0.030697123557597898, 0.20758434482975285]","(0.9118791347845598, 0.4047141642829611, 0.06833717283085126, -0.0035943821156626987)",False
"[-0.013866511222552984, 0.014113314752298796, 0.19344110381965718]","(0.8323102547907563, 0.5421286124736244, -0.0744513933551624, 0.08839229228300356)",False
"[-0.027603751425745948, 0.022217945505794076, 0.1746047775934881]","(0.9675712759810304, 0.23353266647892737, -0.09620393481412015, -0.0036225005125589374)",False
"[-0.022948743001346143, -0.02071021629865665, 0.18753327756042373]","(0.5527201220143818, 0.8261167371721863, -0.08687211728891937, -0.06696893699416355)",True
"[0.0031362333926257847, -0.015111283176269997, 0.20911965061590837]","(0.8059082899936176, -0.5844076387099078, 0.04823856701163258, -0.08156335322764334)",True
"[0.04859602538803939, 0.016948655393548978, 0.2547331947477176]","(-0.9769913921602555, -0.2121800131680659, 0.013231792234335633, 0.017099161705552028)",False
"[0.03004318847738612, 0.0027627699471746087, 0.20468025110164992]","(0.8405877988600764, -0.5392680678418322, -0.04080536195019459, -0.030610877965563135)",False
"[0.01312433383869011, 0.00947038515429866, 0.19634135460441482]","(-0.4529545773168678, 0.8913999444687773, 0.0026894695153079884, 0.015200547440294464)",False
"[0.020413537794474693, 0.02890258879874695, 0.13904515269102044]","(0.7675054635152192, -0.6154791823245457, -0.020110039901569624, 0.17809077992572966)",True
"[-0.019033773124866735, -0.032947808527450655, 0.1744589479935712]","(-0.9659935462392494, 0.22805300975848397, 0.025080639548923932, -0.11924451720742928)",False
"[0.01203320751032515, -0.030809691679377915, 0.16253192881899076]","(-0.13789777167916809, -0.9897074320383861, 0.03798539653761055, 0.00452914824045474)",False
"[0.022456013033154747, 0.009133325535083317, 0.16528116620993083]","(0.48719935847600604, 0.8692648920818267, 0.04099988199737529, 0.07303658104497934)",False
"[0.04476919972399039, 0.015494500313931854, 0.21046329508394276]","(0.9456826704291053, 0.3219181095686126, 0.04098202778539107, 0.019325914737591446)",False
"[-0.007617093032896007, 0.006119313983422975, 0.20909660318080622]","(0.5709619600931427, -0.8145841544446057, 0.012115679043169028, 0.10152982702480152)",True
